고고싱,1700,3500,100,NNG,online,T,고고싱,*,*,*,*,*
고담,1700,3500,100,NNG,online,T,고담,*,*,*,*,*
갠전,1700,3500,100,NNG,online,T,갠전,*,*,*,*,*
개인톡,1700,3500,100,NNG,online,T,개인톡,*,*,*,*,*
갠톡,1700,3500,100,NNG,online,T,갠톡,*,*,*,*,*
관심병,1700,3500,100,NNG,online,T,관심병,*,*,*,*,*
관종,1700,3500,100,NNG,online,T,관종,*,*,*,*,*
귀차니즘,1700,3500,100,NNG,online,T,귀차니즘,*,*,*,*,*
글서리,1700,3500,100,NNG,online,F,글서리,*,*,*,*,*
급식충,1700,3500,100,NNG,online,T,급식충,*,*,*,*,*
끝판왕,1700,3500,100,NNG,online,T,끝판왕,*,*,*,*,*
낄끼빠빠,1700,3500,100,NNG,online,F,낄끼빠빠,*,*,*,*,*
낫닝겐,1700,3500,100,NNG,online,T,낫닝겐,*,*,*,*,*
냥집사,1700,3500,100,NNG,online,F,냥집사,*,*,*,*,*
네가지,1700,3500,0,NNG,online,F,네가지,*,*,*,*,*
노답,1700,3500,100,NNG,online,T,노답,*,*,*,*,*
노잼,1700,3500,100,NNG,online,T,노잼,*,*,*,*,*
눈팅,1700,3500,100,NNG,online,T,눈팅,*,*,*,*,*
뉴비,1700,3500,100,NNG,online,F,뉴비,*,*,*,*,*
늅,1700,3500,100,MAG,online,T,늅,*,*,*,*,*
느금마,1700,3500,100,NNG,online,F,느금마,*,*,*,*,*
느님,1700,3500,100,NNB,online,T,느님,*,*,*,*,*
닝겐,1700,3500,100,NNG,online,T,닝겐,*,*,*,*,*
대인배,1700,3500,100,NNG,online,F,대인배,*,*,*,*,*
디부심,1700,3500,100,NNG,online,T,디부심,*,*,*,*,*
딸바보,1700,3500,100,NNG,online,F,딸바보,*,*,*,*,*
떡치,1700,3500,100,VV,online,F,떡치,*,*,*,*,*
떡쳤,1700,3500,100,VV,online,T,떡쳤,*,*,*,*,*
또라이,1700,3500,100,NNG,online,F,또라이,*,*,*,*,*
똘츄,1700,3500,100,NNG,online,F,똘츄,*,*,*,*,*
