ㅋㅋㅋ,1786,3540,0,IC,kp_laugh,F,ㅋㅋㅋ,*,*,*,*,*
ㅋㅋ,1786,3540,200,IC,kp_laugh,F,ㅋㅋ,*,*,*,*,*
ㅋ,1786,3540,400,IC,kp_laugh,F,ㅋ,*,*,*,*,*
ㅎㅎㅎ,1786,3540,0,IC,kp_laugh,F,ㅎㅎㅎ,*,*,*,*,*
ㅎㅎ,1786,3540,200,IC,kp_laugh,F,ㅎㅎ,*,*,*,*,*
ㅎ,1786,3540,400,IC,kp_laugh,F,ㅎ,*,*,*,*,*
ㅠㅠㅠ,1786,3540,0,IC,kp_cry,F,ㅠㅠㅠ,*,*,*,*,*
ㅠㅠ,1786,3540,200,IC,kp_cry,F,ㅠㅠ,*,*,*,*,*
ㅠ,1786,3540,400,IC,kp_cry,F,ㅠ,*,*,*,*,*
ㅜㅜㅜ,1786,3540,0,IC,kp_cry,F,ㅜㅜㅜ,*,*,*,*,*
ㅜㅜ,1786,3540,200,IC,kp_cry,F,ㅜㅜ,*,*,*,*,*
ㅜ,1786,3540,400,IC,kp_cry,F,ㅜ,*,*,*,*,*
ㄷㄷㄷ,1786,3540,0,IC,kp_overwh,F,ㄷㄷㄷ,*,*,*,*,*
ㅎㄷㄷ,1786,3540,0,IC,kp_overwh,F,ㅎㄷㄷ,*,*,*,*,*
ㅎㄷ,1786,3540,200,IC,kp_overwh,F,ㅎㄷ,*,*,*,*,*
ㄷㄷ,1786,3540,200,IC,kp_overwh,F,ㄷㄷ,*,*,*,*,*
ㄷ,1786,3540,400,IC,kp_overwh,F,ㄷ,*,*,*,*,*
ㅗㅗㅗ,1786,3540,200,IC,kp_fuck,F,ㅗㅗㅗ,*,*,*,*,*
ㅗㅗ,1786,3540,400,IC,kp_fuck,F,ㅗㅗ,*,*,*,*,*
ㅗ,1700,3500,100,IC,kp_fuck,F,ㅗ,*,*,*,*,*
ㄱ,1700,3500,100,SW,abbr,F,ㄱ,*,*,*,*,*
ㄱㄷ,1700,3500,100,SW,abbr,F,ㄱㄷ,*,*,*,*,*
ㄱㅅ,1700,3500,100,SW,abbr,F,ㄱㅅ,*,*,*,*,*
ㄱㅇㄷ,1700,3500,100,SW,abbr,F,ㄱㅇㄷ,*,*,*,*,*
ㄱㅊ,1700,3500,100,SW,abbr,F,ㄱㅊ,*,*,*,*,*
ㄲ,1700,3500,100,SW,abbr,F,ㄲ,*,*,*,*,*
ㄲㅂ,1700,3500,100,SW,abbr,F,ㄲㅂ,*,*,*,*,*
ㄲㅈ,1700,3500,100,SW,abbr,F,ㄲㅈ,*,*,*,*,*
ㄴ,1700,3500,100,SW,abbr,F,ㄴ,*,*,*,*,*
ㄷㅊ,1700,3500,100,SW,abbr,F,ㄷㅊ,*,*,*,*,*
ㄹㅇ,1700,3500,100,SW,abbr,F,ㄹㅇ,*,*,*,*,*
ㅁㅊ,1700,3500,100,SW,abbr,F,ㅁㅊ,*,*,*,*,*
ㅂ,1700,3500,100,SW,abbr,F,ㅂ,*,*,*,*,*
ㅂㅅ,1700,3500,100,SW,abbr,F,ㅂㅅ,*,*,*,*,*
ㅅㄱ,1700,3500,100,SW,abbr,F,ㅅㄱ,*,*,*,*,*
ㅅㅂ,1700,3500,100,SW,abbr,F,ㅅㅂ,*,*,*,*,*
ㅆㅂ,1700,3500,100,SW,abbr,F,ㅆㅂ,*,*,*,*,*
ㅅ,1700,3500,100,SW,abbr,F,ㅅ,*,*,*,*,*
ㅅㅅ,1786,3540,200,SW,abbr,F,ㅅㅅ,*,*,*,*,*
ㅇㄱㄹㅇ,1700,3500,100,SW,abbr,F,ㅇㄱㄹㅇ,*,*,*,*,*
ㅇㄴ,1700,3500,100,SW,abbr,F,ㅇㄴ,*,*,*,*,*
ㅇㄷ,1700,3500,100,SW,abbr,F,ㅇㄷ,*,*,*,*,*
ㅇㅅㅇ,1700,3500,100,SW,abbr,F,ㅇㅅㅇ,*,*,*,*,*
ㅇㅂㅇ,1700,3500,100,SW,abbr,F,ㅇㅂㅇ,*,*,*,*,*
ㅇㅁㅇ,1700,3500,100,SW,abbr,F,ㅇㅁㅇ,*,*,*,*,*
ㅇㅂㅇ,1700,3500,100,SW,abbr,F,ㅇㅂㅇ,*,*,*,*,*
ㅇ,1700,3500,100,SW,abbr,F,ㅇ,*,*,*,*,*
ㅇㅈ,1700,3500,100,SW,abbr,F,ㅇㅈ,*,*,*,*,*
ㅇㅋ,1700,3500,100,SW,abbr,F,ㅇㅋ,*,*,*,*,*
ㅇㅎ,1700,3500,100,SW,abbr,F,ㅇㅎ,*,*,*,*,*
ㅈㄹ,1700,3500,100,SW,abbr,F,ㅈㄹ,*,*,*,*,*
ㅈㅅ,1700,3500,100,SW,abbr,F,ㅈㅅ,*,*,*,*,*
ㅉ,1700,3500,100,SW,abbr,F,ㅉ,*,*,*,*,*
ㅊ,1700,3500,100,SW,abbr,F,ㅊ,*,*,*,*,*
ㅊㅊ,1700,3500,100,SW,abbr,F,ㅊㅊ,*,*,*,*,*
ㅊㅋ,1700,3500,100,SW,abbr,F,ㅊㅋ,*,*,*,*,*
ㅋㄷ,1700,3500,100,SW,abbr,F,ㅋㄷ,*,*,*,*,*
ㅎㅇ,1700,3500,100,SW,abbr,F,ㅎㅇ,*,*,*,*,*
